,Links,Name,Rating,Cuisines,Reviews,Avg waiting time,Cost / Person
86,https://www.zomato.com/nagpur/bangali-babu-sandwich-1-gandhibagh/order,Bangali Babu Sandwich,3.8,"['Fast Food', ' Sandwich', ' Pizza']",4916,44,100
87,https://www.zomato.com/nagpur/taubys-civil-lines/order,Tauby's,4.1,"['Bakery', ' Desserts', ' Fast Food', ' Sandwich']",789,32,100
88,https://www.zomato.com/nagpur/veena-vihar-restaurant-dhantoli/order,Veena Vihar Restaurant,3.9,"['South Indian', ' Juices', ' Beverages']",254,27,100
89,https://www.zomato.com/nagpur/wts-what-the-sandwich-dharampeth/order,WTS- What the Sandwich,3.9,"['Sandwich', ' Burger', ' Pizza', ' Fast Food']",539,38,150
90,https://www.zomato.com/nagpur/park-paradise-jaripatka/order,Park Paradise,3.8,"['North Indian', ' Chinese', ' Fast Food']",1463,45,150
91,https://www.zomato.com/nagpur/light-house-cafe-1-wardhaman-nagar/order,Light House Cafe,3.4,"['Cafe', ' Fast Food']",67,47,100
92,https://www.zomato.com/nagpur/maa-annapurna-restaurant-ayodhya-nagar/order,Maa Annapurna Restaurant,3.7,"['North Indian', ' Chinese', ' Biryani', ' South Indian', ' Rolls', ' Street Food']",4685,51,150
93,https://www.zomato.com/nagpur/icing-on-the-cake-sadar/order,Icing On The Cake,4.3,"['Cafe', ' Bakery', ' Italian', ' Chinese', ' Desserts', ' Fast Food', ' Beverages']",89,19,350
94,https://www.zomato.com/nagpur/bhanarkar-saoji-bhojnalaya-family-restaurant-wardhaman-nagar/order,Bhanarkar Saoji Bhojnalaya & Family Restaurant,3.9,['North Indian'],48,41,150
95,https://www.zomato.com/nagpur/babbu-mini-star-sadar/order,Babbu Mini Star,4.0,"['Biryani', ' North Indian', ' Mughlai']",157,31,200
96,https://www.zomato.com/nagpur/new-kalpana-vihar-sadar/order,New Kalpana Vihar,4.3,"['Mithai', ' Street Food']",554,36,50
97,https://www.zomato.com/nagpur/sai-baba-bakery-gandhibagh/order,Sai Baba Bakery,4.1,['Bakery'],42,24,350
98,https://www.zomato.com/nagpur/eat-more-seminary-hills/order,Eat More,3.9,"['Maharashtrian', ' North Indian', ' Beverages', ' Street Food']",37,54,200
99,https://www.zomato.com/nagpur/healthy-craving-cafe-gandhibagh/order,Healthy Craving Cafe,3.9,"['Healthy Food', ' Beverages', ' Juices']",44,46,100
100,https://www.zomato.com/nagpur/urban-nukkad-pratap-nagar/order,Urban Nukkad,3.4,"['South Indian', ' North Indian']",36,43,250
101,https://www.zomato.com/nagpur/the-crunchy-kitchen-pachpaoli/order,The Crunchy Kitchen,4.3,"['South Indian', ' Maharashtrian', ' North Indian']",98,45,50
102,https://www.zomato.com/nagpur/new-crazy-bite-dhantoli/order,New Crazy Bite,3.6,"['Chinese', ' Street Food', ' South Indian', ' North Indian']",203,39,200
103,https://www.zomato.com/nagpur/pratape-foods-ramdaspeth/order,Pratape Foods,3.8,"['Maharashtrian', ' North Indian', ' Fast Food']",4480,36,150
